Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Justin Hamilton",7-0,26,64,7,6.9063,0.8594,4.09375,0.459,0.75,0.304,0
"T.J. McConnell",6-2,24,81,51,6.8642,6.5926,3.0987654320987654,0.461,0.811,0.2,0
"Patrick Patterson",6-9,27,65,8,6.8462,1.1692,4.476923076923077,0.401,0.717,0.372,0
"Ian Clark",6-3,25,77,0,6.8442,1.1688,1.5844155844155845,0.487,0.759,0.374,0
"Bobby Portis",6-11,21,64,13,6.8281,0.5469,4.625,0.488,0.661,0.333,0
"Jared Dudley",6-7,31,64,7,6.7813,1.8906,3.515625,0.454,0.662,0.379,0
"Lance Stephenson",6-5,26,18,0,6.7778,3.2778,2.888888888888889,0.45,0.615,0.3,0
"John Henson",6-11,26,58,39,6.7586,0.9828,5.086206896551724,0.515,0.692,0,0
"Brandan Wright",6-10,29,28,5,6.7500,0.5357,2.7857142857142856,0.615,0.657,0,0
"Alec Burks",6-6,25,42,0,6.7381,0.7143,2.857142857142857,0.399,0.769,0.329,0
"Raymond Felton",6-1,32,80,11,6.7250,2.3875,2.7125,0.43,0.781,0.319,0
"Devin Harris",6-3,33,65,0,6.7231,2.0923,1.9538461538461538,0.399,0.829,0.328,0
"James Ennis",6-7,26,64,28,6.7031,1.0000,4.046875,0.455,0.782,0.372,0
"Dwight Powell",6-11,25,77,3,6.7013,0.6364,3.9740259740259742,0.515,0.759,0.284,0
"P.J. Tucker",6-6,31,81,21,6.6667,1.2222,5.827160493827161,0.413,0.774,0.357,0
"Marcus Thornton",6-4,29,33,1,6.6364,1.2424,2.303030303030303,0.4,0.852,0.35,0
"Kosta Koufos",7-0,27,71,62,6.6197,0.6620,5.676056338028169,0.551,0.613,0,0
"Andre Roberson",6-7,25,79,79,6.6076,1.0000,5.0886075949367084,0.464,0.423,0.245,0
"Jaylen Brown",6-7,20,78,20,6.6026,0.8205,2.8205128205128207,0.454,0.685,0.341,0
"Michael Carter-Williams",6-6,25,45,19,6.6000,2.5111,3.3777777777777778,0.366,0.753,0.234,0
"Dante Cunningham",6-8,29,66,35,6.5909,0.5455,4.196969696969697,0.485,0.593,0.392,0
"Sam Dekker",6-9,22,77,2,6.5455,0.9870,3.688311688311688,0.473,0.559,0.321,0
"Amir Johnson",6-9,29,80,77,6.5000,1.7500,4.5625,0.576,0.67,0.409,0
"Timothe Luwawu-Cabarrot",6-6,21,69,19,6.4493,1.0870,2.1594202898550723,0.402,0.854,0.311,0
"Mirza Teletovic",6-9,31,70,2,6.4429,0.6857,2.3142857142857145,0.373,0.778,0.341,0
"Darrell Arthur",6-9,28,41,7,6.3902,1.0244,2.731707317073171,0.442,0.864,0.453,0
"Rodney McGruder",6-4,25,78,65,6.3718,1.5897,3.2948717948717947,0.413,0.62,0.332,0
